_id,date,adult_icu_crci_patients,adult_icu_non_crci_patients,available_adult_icu_beds,total_adult_icu_patients,total_adult_icu_beds,ped_icu_crci_patients,ped_icu_non_crci_patients,available_ped_icu_beds,total_ped_icu_patients,total_ped_icu_beds
1645,2020-05-01T00:00:00,236,1210,566,1446,2012,0,56,33,56,89
1646,2020-05-02T00:00:00,246,1211,555,1457,2012,0,54,35,54,89
1647,2020-05-03T00:00:00,243,1197,572,1440,2012,0,56,33,56,89
1648,2020-05-04T00:00:00,243,1252,517,1495,2012,0,59,30,59,89
1649,2020-05-05T00:00:00,240,1247,525,1487,2012,0,56,33,56,89
1650,2020-05-06T00:00:00,234,1195,583,1429,2012,0,48,41,48,89
1651,2020-05-07T00:00:00,230,1194,588,1424,2012,0,54,35,54,89
1652,2020-05-08T00:00:00,218,1189,605,1407,2012,0,55,34,55,89
1653,2020-05-09T00:00:00,211,1206,595,1417,2012,0,50,39,50,89
1654,2020-05-10T00:00:00,215,1188,609,1403,2012,0,44,45,44,89
1655,2020-05-11T00:00:00,211,1260,541,1471,2012,0,51,38,51,89
1656,2020-05-12T00:00:00,207,1280,525,1487,2012,0,62,27,62,89
1657,2020-05-13T00:00:00,201,1285,526,1486,2012,0,50,39,50,89
1658,2020-05-14T00:00:00,194,1284,534,1478,2012,0,56,33,56,89
1659,2020-05-15T00:00:00,196,1273,543,1469,2012,0,59,30,59,89
1660,2020-05-16T00:00:00,188,1236,588,1424,2012,0,54,35,54,89
1661,2020-05-17T00:00:00,190,1219,603,1409,2012,0,50,39,50,89
1662,2020-05-18T00:00:00,192,1238,582,1430,2012,0,46,43,46,89
1663,2020-05-19T00:00:00,185,1281,546,1466,2012,0,46,43,46,89
1664,2020-05-20T00:00:00,181,1297,534,1478,2012,0,48,41,48,89
1665,2020-05-21T00:00:00,176,1282,554,1458,2012,0,51,38,51,89
1666,2020-05-22T00:00:00,175,1296,541,1471,2012,0,55,34,55,89
1667,2020-05-23T00:00:00,176,1328,508,1504,2012,0,53,36,53,89
1668,2020-05-24T00:00:00,175,1306,531,1481,2012,0,52,37,52,89
1669,2020-05-25T00:00:00,172,1369,471,1541,2012,0,51,38,51,89
1670,2020-05-26T00:00:00,173,1347,492,1520,2012,0,52,37,52,89
1671,2020-05-27T00:00:00,163,1399,450,1562,2012,0,55,34,55,89
1672,2020-05-28T00:00:00,159,1373,480,1532,2012,0,59,30,59,89
1673,2020-05-29T00:00:00,155,1344,513,1499,2012,0,55,34,55,89
1674,2020-05-30T00:00:00,156,1287,569,1443,2012,0,51,38,51,89
1675,2020-05-31T00:00:00,161,1281,570,1442,2012,0,51,38,51,89
1676,2020-06-01T00:00:00,160,1356,496,1516,2012,0,54,35,54,89
1677,2020-06-02T00:00:00,158,1370,484,1528,2012,0,51,38,51,89
1678,2020-06-03T00:00:00,152,1348,512,1500,2012,0,54,35,54,89
1679,2020-06-04T00:00:00,149,1361,502,1510,2012,0,55,34,55,89
1680,2020-06-05T00:00:00,146,1363,503,1509,2012,0,59,30,59,89
1681,2020-06-06T00:00:00,142,1348,522,1490,2012,0,54,35,54,89
1682,2020-06-07T00:00:00,143,1329,540,1472,2012,0,54,35,54,89
1683,2020-06-08T00:00:00,141,1386,485,1527,2012,0,57,32,57,89
1684,2020-06-09T00:00:00,144,1392,476,1536,2012,0,59,30,59,89
1685,2020-06-10T00:00:00,145,1419,448,1564,2012,0,48,41,48,89
1686,2020-06-11T00:00:00,140,1365,507,1505,2012,0,50,39,50,89
1687,2020-06-12T00:00:00,136,1359,517,1495,2012,0,46,43,46,89
1688,2020-06-13T00:00:00,128,1345,539,1473,2012,0,50,39,50,89
1689,2020-06-14T00:00:00,129,1321,562,1450,2012,0,47,42,47,89
