ID,date,agegroup,cases_unvac_rate_per100K,cases_partial_vac_rate_per100K,cases_notfull_vac_rate_per100K,cases_full_vac_rate_per100K,cases_boost_vac_rate_per100K,cases_unvac_rate_7ma,cases_partial_vac_rate_7ma,cases_notfull_vac_rate_7ma,cases_full_vac_rate_7ma,cases_boost_vac_rate_7ma
1,2021-09-13,0-11yrs,6.24,0.0,7.19,0.0,7.72,11.3,3.41,7.66,3.01,8.46
2,2021-09-13,12-17yrs,13.11,1.92,7.19,0.8,7.72,11.3,3.41,7.66,3.01,8.46
3,2021-09-13,18-39yrs,13.51,6.7,7.19,2.0,7.72,11.3,3.41,7.66,3.01,8.46
4,2021-09-13,40-59yrs,10.91,6.04,7.19,1.41,7.72,11.3,3.41,7.66,3.01,8.46
5,2021-09-13,60-79yrs,9.62,0.0,7.19,0.49,7.72,11.3,3.41,7.66,3.01,8.46
6,2021-09-13,80+,13.64,0.0,7.19,0.64,7.72,11.3,3.41,7.66,3.01,8.46
7,2021-09-13,ALL,9.58,5.02,7.19,1.26,7.72,11.3,3.41,7.66,3.01,8.46
8,2021-09-14,0-11yrs,4.8,5.58,7.19,0.0,7.72,11.3,3.41,7.66,3.01,8.46
9,2021-09-14,12-17yrs,17.33,5.86,7.19,0.48,7.72,11.3,3.41,7.66,3.01,8.46
10,2021-09-14,18-39yrs,11.81,6.75,7.19,2.09,7.72,11.3,3.41,7.66,3.01,8.46
11,2021-09-14,40-59yrs,11.26,7.98,7.19,1.24,7.72,11.3,3.41,7.66,3.01,8.46
12,2021-09-14,60-79yrs,7.57,1.17,7.19,0.61,7.72,11.3,3.41,7.66,3.01,8.46
13,2021-09-14,80+,13.76,0.0,7.19,0.8,7.72,11.3,3.41,7.66,3.01,8.46
14,2021-09-14,ALL,8.64,6.21,7.19,1.26,7.72,11.3,3.41,7.66,3.01,8.46
15,2021-09-15,0-11yrs,4.75,0.0,7.19,0.0,7.72,11.3,3.41,7.66,3.01,8.46
16,2021-09-15,12-17yrs,12.9,1.0,7.19,0.47,7.72,11.3,3.41,7.66,3.01,8.46
17,2021-09-15,18-39yrs,13.39,7.5,7.19,2.25,7.72,11.3,3.41,7.66,3.01,8.46
18,2021-09-15,40-59yrs,9.65,4.28,7.19,1.6,7.72,11.3,3.41,7.66,3.01,8.46
19,2021-09-15,60-79yrs,11.01,2.38,7.19,0.65,7.72,11.3,3.41,7.66,3.01,8.46
20,2021-09-15,80+,5.56,0.0,7.19,1.45,7.72,11.3,3.41,7.66,3.01,8.46
21,2021-09-15,ALL,8.65,5.11,7.19,1.46,7.72,11.3,3.41,7.66,3.01,8.46
22,2021-09-16,0-11yrs,7.24,0.0,7.19,0.0,7.72,11.3,3.41,7.66,3.01,8.46
23,2021-09-16,12-17yrs,13.96,7.06,7.19,0.31,7.72,11.3,3.41,7.66,3.01,8.46
24,2021-09-16,18-39yrs,21.77,7.51,7.19,3.59,7.72,11.3,3.41,7.66,3.01,8.46
25,2021-09-16,40-59yrs,15.77,6.69,7.19,1.79,7.72,11.3,3.41,7.66,3.01,8.46
26,2021-09-16,60-79yrs,14.06,3.61,7.19,1.4,7.72,11.3,3.41,7.66,3.01,8.46
27,2021-09-16,80+,16.84,0.0,7.19,0.96,7.72,11.3,3.41,7.66,3.01,8.46
